chữa	766 798 820 827
bệnh	820 798 875 827

TYT	38 53 82 71
XÃ	82 53 127 71
TRẦN	127 53 172 71
HƯNG	172 53 217 71
ĐẠO	217 53 261 71
THỊ	261 53 306 71
Số	488 85 550 114
phiếu	550 85 611 114
12/2018	611 85 673 114
4657591	823 93 903 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
35	394 193 423 210
35	481 193 509 210
206	573 193 615 210
82688	669 193 736 210
2	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 281 235
Huyết	281 216 342 235
áp:	342 216 402 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chẩn	36 254 77 275
đoán:	77 254 118 275
J02	118 254 159 275
-	159 254 200 275
Viêm	200 254 240 275
họng	240 254 281 275
cấp	281 254 322 275
1)	60 361 163 385
NOVOXIM-500	163 361 265 385
0,5g	265 361 368 385
SL:	782 361 831 382
20	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
2	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
2	418 388 456 407
Viên	456 388 494 407
SL:	782 410 830 430
10	830 410 877 430
viên	877 410 925 430
2)	59 410 189 435
COSYNDO	189 410 319 435
B	319 410 450 435
175mg+175mg+125mg	450 410 580 435
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	675 435 713 452
1	713 435 751 452
viên	751 435 789 452
Sáng	380 437 415 456
1	415 437 451 456
viên	451 437 486 456
Cộng	43 463 97 480
khoản:	97 463 151 480
2	151 463 205 480
khoản	205 463 259 480
Lời	43 485 85 502
dặn	85 485 127 502
đơn	127 485 169 502
thuốc:	169 485 211 502
Ngày	43 510 86 528
hẹn	86 510 130 528
tái	130 510 173 528
khám:	173 510 217 528
Ngày	636 542 726 560
03/01/2018	726 542 815 560
Bệnh	85 560 128 577
nhân	128 560 172 577
ký	172 560 215 577
nhận	215 560 259 577
Y,	650 566 680 585
Bác	680 566 710 585
sĩ	710 566 740 585
điều	740 566 771 585
trị	771 566 801 585
YS.	614 633 667 657
Đào	667 633 719 657
Minh	719 633 772 657
Dũng	772 633 825 657
Tái	43 688 88 708
khám	88 688 132 708
xin	132 688 177 708
mang	177 688 222 708
theo	222 688 267 708
đơn,	267 688 311 708
xét	311 688 356 708
nghiệm,	356 688 401 708
phim	401 688 446 708
(nếu	446 688 490 708
có)	490 688 535 708
15/05/2021	773 726 867 742
10:36:20	867 726 960 742

1/1	76 26 148 54
TRÀNG	201 54 257 71
AN	257 54 314 71
Số	489 85 555 113
phiếu	555 85 621 113
683/2021	621 85 686 113
4753348	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
GB	246 193 281 209
35	394 193 423 210
35	481 193 509 209
205	573 193 615 210
85562	669 193 736 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chẩn	36 256 80 274
đoán:	80 256 123 274
K58.0	123 256 167 274
-	167 256 210 274
Hội	210 256 253 274
chứng	253 256 297 274
ruột	297 256 340 274
kích	340 256 384 274
thích,	384 256 427 274
có	427 256 471 274
tiêu	471 256 514 274
chảy	514 256 557 274
1)	60 358 164 385
NORMAGUT	164 358 268 385
250mg	268 358 372 385
SL:	782 361 830 382
10	830 361 877 382
viên	877 361 925 382
Ghi	44 383 100 408
chú	100 383 155 408
Uống:	155 383 210 408
Chiều	675 386 713 404
1	713 386 751 404
viên	751 386 789 404
Sáng	380 388 415 407
1	415 388 451 407
viên	451 388 486 407
Cộng	43 414 97 432
khoản:	97 414 151 432
1	151 414 205 432
khoản	205 414 259 432
Lời	43 435 85 454
dặn	85 435 127 454
đơn	127 435 169 454
thuốc:	169 435 211 454
Ngày	43 459 86 479
hẹn	86 459 130 479
tái	130 459 173 479
khám:	173 459 217 479
Ngày	636 494 726 512
26/02/2021	726 494 815 512
Bệnh	85 510 128 528
nhân	128 510 172 528
ký	172 510 215 528
nhận	215 510 259 528
Y,	650 516 680 537
Bác	680 516 710 537
sĩ	710 516 740 537
điều	740 516 771 537
trị	771 516 801 537
BS.	628 586 673 605
Trần	673 586 718 605
Văn	718 586 763 605
Hải	763 586 807 605
Tái	43 640 88 659
khám	88 640 132 659
xin	132 640 177 659
mang	177 640 222 659
theo	222 640 267 659
đơn,	267 640 311 659
xét	311 640 356 659
nghiệm,	356 640 401 659
phim	401 640 446 659
(nếu	446 640 490 659
có)	490 640 535 659
30/05/2021	771 677 865 693
09:52:12	865 677 960 693

Khoa	32 63 84 80
Khám	84 63 136 80
bệnh	136 63 188 80
Bốc	32 91 75 112
khám	75 91 119 112
nội	119 91 162 112
Số	481 94 556 120
phiếu	556 94 631 120
36770/2021	631 94 706 120
4656976	813 101 893 118
TOA	336 121 443 151
THUỐC	443 121 550 151
BHYT	550 121 657 151
Nam	804 157 849 171
Nữ	888 159 919 173
210	565 201 606 218
27665	662 201 726 218
CK	239 203 275 218
2	321 203 339 218
35	388 203 417 218
35	473 203 501 218
MMHg	586 224 646 245
Thân	646 224 706 245
nhiệt:	706 224 766 245
36.7	766 224 826 245
lần/phút	217 226 276 243
Huyết	276 226 335 243
áp:	335 226 394 243
Mạch:	32 228 91 243
75	114 228 139 241
120	432 228 534 241
Cận	31 245 73 265
lâm	73 245 116 265
sàng:	116 245 159 265
Chấn	32 261 72 283
đoán:	72 261 112 283
110	112 261 152 283
-	152 261 192 283
Bệnh	192 261 232 283
lý	232 261 272 283
tăng	272 261 312 283
huyết	312 261 352 283
áp	352 261 392 283
(I25)	392 261 432 283
Bệnh	432 261 472 283
tim	472 261 512 283
thiếu	512 261 552 283
máu	552 261 592 283
cục	592 261 632 283
bộ	632 261 672 283
mạn	672 261 712 283
1)	55 370 146 395
ENALAPRIL	146 370 238 395
5mg	238 370 329 395
SL:	771 371 820 390
60	820 371 868 390
Viên	868 371 917 390
Ghi	42 391 96 415
chú	96 391 150 415
Uống:	150 391 204 415
Chiều	666 395 706 412
1	706 395 746 412
Viên	746 395 786 412
Sáng	373 396 411 415
1	411 396 448 415
Viên	448 396 486 415
2)	55 418 128 443
KAVASDIN	128 418 201 443
5	201 418 274 443
5mg	274 418 347 443
SL:	771 420 820 438
60	820 420 868 438
Viên	868 420 917 438
Ghi	42 440 96 464
chú	96 440 150 464
Uống:	150 440 204 464
Chiều	666 443 706 460
1	706 443 746 460
Viên	746 443 786 460
Sáng	373 445 411 463
1	411 445 448 463
Viên	448 445 486 463
3)	55 466 145 491
SAVIPROLOL	145 466 234 491
2,5	234 466 324 491
2,5mg	324 466 413 491
SL:	771 468 820 488
30	820 468 868 488
Viên	868 468 917 488
Ghi	42 491 96 512
chú	96 491 150 512
uống:	150 491 204 512
Sáng	373 495 411 512
1	411 495 448 512
Viên	448 495 486 512
4)	55 515 136 541
ASPIRIN	136 515 217 541
81MG	217 515 298 541
81mg	298 515 379 541
SL:30	771 516 845 537
Viên	845 516 919 537
Ghi	42 538 96 562
chú	96 538 150 562
Uống:	150 538 204 562
Sáng	373 543 411 562
1	411 543 448 562
Viên	448 543 486 562
SL:30	771 565 844 585
Viên	844 565 917 585
5)	55 565 126 590
INBACID	126 565 198 590
10	198 565 269 590
10mg	269 565 340 590
Ghi	42 587 93 610
chú	93 587 143 610
Uống	143 587 193 610
Tối	810 590 842 607
1	842 590 874 607
Viên	874 590 906 607
Cộng	39 618 92 637
khoản:	92 618 145 637
5	145 618 198 637
khoản	198 618 251 637
Lời	39 638 93 657
dặn	93 638 148 657
đơn	148 638 203 657
thuốc:	203 638 258 657
Hẹn	258 638 313 657
KHám	313 638 367 657
Lại	367 638 422 657
26/8/2021	422 638 477 657
Ngày	39 665 82 684
hẹn	82 665 126 684
tái	126 665 169 684
khám:	169 665 213 684
Ngày	627 698 715 716
26/07/2021	715 698 803 716
Bệnh	80 715 123 732
nhân	123 715 166 732
ký	166 715 210 732
nhận	210 715 253 732
Y,	640 721 671 741
Bác	671 721 701 741
sĩ	701 721 732 741
điều	732 721 762 741
trị	762 721 793 741
BSCKI.	584 791 646 810
Trần	646 791 707 810
Minh	707 791 769 810
Tuấn	769 791 831 810
Tái	38 843 83 865
khám	83 843 128 865
xin	128 843 173 865
mang	173 843 219 865
theo	219 843 264 865
đơn,	264 843 309 865
xét	309 843 354 865
nghiệm,	354 843 400 865
phim	400 843 445 865
(nếu	445 843 490 865
có)	490 843 535 865
05/01/2022	762 882 854 898
21:48:20	854 882 946 898

1/1	74 32 149 54
PK	32 74 66 92
Số	66 74 100 92
2	100 74 133 92
[Nội]	133 74 167 92
Số	483 78 558 97
phiếu	558 78 633 97
46676/2019	633 78 709 97
4699376	811 82 896 96
TOA	336 97 444 121
THUỐC	444 97 551 121
BHYT	551 97 659 121
Nam	806 126 849 137
Nữ	892 126 922 137
960	563 157 607 171
3	324 159 419 171
09913	664 159 728 171
25	477 160 503 171
lần/phút	220 177 279 190
Huyết	279 177 337 190
áp:	337 177 396 190
Mạch:	36 179 94 190
MMHg	587 179 649 191
Thân	649 179 711 191
nhiệt:	711 179 774 191
Cận	36 192 77 206
lâm	77 192 119 206
sàng:	119 192 161 206
Chấn	33 203 79 220
đoán:	79 203 124 220
E78	124 203 170 220
-	170 203 215 220
Rối	215 203 261 220
loạn	261 203 306 220
chuyển	306 203 351 220
hoá	351 203 397 220
lipoprotein	397 203 442 220
và	442 203 488 220
tình	488 203 533 220
trạng	533 203 579 220
tăng	579 203 624 220
lipid	624 203 670 220
máu	670 203 715 220
khác	715 203 761 220
1)	59 282 167 302
FIBROFIN-145	167 282 275 302
145mg	275 282 383 302
SL:	771 283 819 300
31	819 283 867 300
Viên	867 283 915 300
Tối	809 302 842 316
1	842 302 876 316
Viên	876 302 910 316
Ghi	48 302 101 320
chú	101 302 154 320
Uống:	154 302 207 320
Cộng	42 324 96 338
khoản:	96 324 149 338
1	149 324 202 338
khoản	202 324 255 338
Lời	38 341 81 356
dặn	81 341 124 356
đơn	124 341 167 356
thuốc:	167 341 210 356
Ngày	42 360 85 374
hẹn	85 360 128 374
tái	128 360 171 374
khám:	171 360 214 374
Ngày	627 383 716 400
26/07/2019	716 383 806 400
Bệnh	83 397 125 411
nhân	125 397 168 411
ký	168 397 211 411
nhận	211 397 254 411
Y,	641 402 671 419
Bác	671 402 701 419
sĩ	701 402 731 419
điều	731 402 761 419
trị	761 402 790 419
BS.	615 454 662 469
Trần	662 454 709 469
Mạnh	709 454 755 469
Hà	755 454 802 469
Tái	42 495 87 509
khám	87 495 131 509
xin	131 495 175 509
mang	175 495 219 509
theo	219 495 263 509
đơn,	263 495 307 509
xét	307 495 351 509
nghiệm,	351 495 396 509
phim	396 495 440 509
(nếu	440 495 484 509
có)	484 495 528 509
01/01/2022	759 523 854 535
15:17:33	854 523 949 535

1/1	76 26 148 54
PK	34 83 69 104
Số	69 83 105 104
5.1	105 83 140 104
[TĐ]	140 83 176 104
Số	489 85 565 114
phiếu	565 85 642 114
63747/2019	642 85 718 114
4692432	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
HT	243 193 281 210
35	394 193 423 210
35	481 193 509 209
208	573 193 615 210
22391	669 193 734 210
3	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 281 235
Huyết	281 216 342 235
áp:	342 216 402 235
Mạch:	36 218 96 233
Cận	36 235 85 257
lâm	85 235 134 257
sàng:	134 235 182 257
Định	182 235 231 257
lượng	231 235 280 257
Glucose	280 235 328 257
(Máu),	328 235 377 257
Tổng	377 235 426 257
phân	426 235 475 257
tích	475 235 523 257
nước	523 235 572 257
tiểu	572 235 621 257
(Bằng	621 235 669 257
máy	669 235 718 257
tự	718 235 767 257
động);	767 235 815 257
Chấn	36 254 82 275
đoán:	82 254 128 275
E78	128 254 175 275
-	175 254 221 275
Rối	221 254 267 275
loạn	267 254 313 275
chuyển	313 254 359 275
hoá	359 254 405 275
lipoprotein	405 254 451 275
và	451 254 497 275
tình	497 254 543 275
trạng	543 254 589 275
tăng	589 254 635 275
lipid	635 254 681 275
máu	681 254 727 275
khác;	727 254 773 275
(E11)	773 254 819 275
TD	819 254 865 275
Bệnh	865 254 911 275
đái	911 254 957 275
tháo	34 274 88 293
đường	88 274 142 293
không	142 274 196 293
phụ	196 274 250 293
thuộc	250 274 303 293
insulin	303 274 357 293
1)	60 360 169 385
FIBROFIN-145	169 360 278 385
145mg	278 360 388 385
SL:	782 361 831 382
32	831 361 880 382
Viên	880 361 928 382
Ghi	44 385 88 409
chú	88 385 131 409
Uống	131 385 175 409
sau	175 385 218 409
khi	218 385 261 409
ăn:	261 385 305 409
Tối	822 386 855 404
1	855 386 888 404
Viên	888 386 921 404
Cộng	43 414 97 432
khoản:	97 414 151 432
1	151 414 205 432
khoản	205 414 259 432
Lời	43 435 85 454
dặn	85 435 127 454
đơn	127 435 169 454
thuốc:	169 435 211 454
Ngày	43 459 86 479
hẹn	86 459 130 479
tái	130 459 173 479
khám:	173 459 217 479
Ngày	636 492 727 513
10/10/2019	727 492 818 513
Bệnh	85 510 128 528
nhân	128 510 172 528
ký	172 510 215 528
nhận	215 510 259 528
Y,	650 518 680 537
Bác	680 518 710 537
sĩ	710 518 740 537
điều	740 518 771 537
trị	771 518 801 537
BS.	636 587 692 610
khong	692 587 747 610
dùng	747 587 802 610
Tái	43 640 88 659
khám	88 640 132 659
xin	132 640 177 659
mang	177 640 222 659
theo	222 640 267 659
đơn,	267 640 311 659
xét	311 640 356 659
nghiệm,	356 640 401 659
phim	401 640 446 659
(nếu	446 640 490 659
có)	490 640 535 659
14/05/2021	773 677 867 693
19:14:59	867 677 960 693

1/1	74 32 149 54
PK	33 75 67 92
SỐ	67 75 101 92
3	101 75 135 92
[NHI]	135 75 168 92
Số	483 77 558 97
phiếu	558 77 633 97
39648/2019	633 77 709 97
4667257	814 85 896 96
TOA	336 97 444 121
THUỐC	444 97 551 121
BHYT	551 97 659 121
Nam	806 126 844 137
x	844 126 881 137
nữ	881 126 919 137
206	563 157 607 171
98845	662 157 728 171
BT	244 159 302 171
2	302 159 361 171
L35	361 159 419 171
lần/phút	220 177 279 190
Huyết	279 177 337 190
áp:	337 177 396 190
Mạch:	36 179 94 190
MMHg	587 179 649 191
Thân	649 179 711 191
nhiệt:	711 179 774 191
Cận	36 192 77 206
lâm	77 192 119 206
sàng:	119 192 161 206
Chấn	33 203 79 220
đoán:	79 203 124 220
E78	124 203 170 220
-	170 203 215 220
Rối	215 203 261 220
loạn	261 203 306 220
chuyển	306 203 351 220
hoá	351 203 397 220
lipoprotein	397 203 442 220
và	442 203 488 220
tình	488 203 533 220
trạng	533 203 579 220
tăng	579 203 624 220
lipid	624 203 670 220
máu	670 203 715 220
khác	715 203 761 220
1)	59 282 167 302
FIBROFIN-145	167 282 275 302
145mg	275 282 383 302
SL:	771 283 819 300
30	819 283 867 300
Viên	867 283 915 300
Ghi	44 301 98 320
chú	98 301 153 320
Uống:	153 301 207 320
Tối	809 304 842 316
1	842 304 876 316
Viên	876 304 910 316
Cộng	42 324 96 338
khoản:	96 324 149 338
1	149 324 202 338
khoản	202 324 255 338
Lời	38 341 81 356
dặn	81 341 124 356
đơn	124 341 167 356
thuốc:	167 341 210 356
Ngày	42 360 85 374
hẹn	85 360 128 374
tái	128 360 171 374
khám:	171 360 214 374
Ngày	627 383 716 400
26/06/2019	716 383 806 400
Bệnh	83 397 125 411
nhân	125 397 168 411
ký	168 397 211 411
nhận	211 397 254 411
Y,	641 401 671 418
Bác	671 401 701 418
sĩ	701 401 731 418
điều	731 401 761 418
trị	761 401 790 418
BS.	627 455 681 471
khong	681 455 736 471
dung	736 455 790 471
Tái	42 495 87 509
khám	87 495 131 509
xin	131 495 175 509
mang	175 495 219 509
theo	219 495 263 509
đơn,	263 495 307 509
xét	307 495 351 509
nghiệm,	351 495 396 509
phim	396 495 440 509
(nếu	440 495 484 509
có)	484 495 528 509
20/12/2021	759 523 854 535
00:02:33	854 523 949 535

1/1	76 26 148 54
PK	34 83 68 105
SỐ	68 83 102 105
3	102 83 136 105
[NHI]	136 83 171 105
Số	489 85 565 114
phiếu	565 85 642 114
71081/2020	642 85 718 114
4693995	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
HT	243 193 281 210
35	393 193 423 210
35	481 193 509 209
206	573 193 615 210
56879	669 193 736 210
3	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 75 256
lâm	75 237 113 256
sàng:	113 237 151 256
siêu	151 237 189 256
âm	189 237 227 256
ổ	227 237 265 256
bụng	265 237 303 256
Chần	36 254 81 275
đoán:	81 254 126 275
R10.4	126 254 171 275
-	171 254 215 275
Đau	215 254 260 275
bụng	260 254 305 275
không	305 254 350 275
xác	350 254 394 275
định	394 254 439 275
và	439 254 484 275
đau	484 254 528 275
bụng	528 254 573 275
khác;	573 254 618 275
(J20)	618 254 663 275
Viêm	663 254 707 275
phế	707 254 752 275
quản	752 254 797 275
cấp	797 254 842 275
1)	60 360 160 385
PANACTOL	160 360 260 385
500mg	260 360 360 385
SL:	782 361 831 382
20	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
2	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
2	418 388 456 407
Viên	456 388 494 407
2)	59 409 159 435
CEFADROXIL	159 409 259 435
500MG	259 409 359 435
0,5g	359 409 459 435
SL:	782 410 831 430
28	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	676 435 715 452
2	715 435 755 452
Viên	755 435 794 452
Sáng	380 437 418 456
2	418 437 456 456
Viên	456 437 494 456
3)	59 457 148 484
VIPREDNI	148 457 238 484
16MG	238 457 327 484
16mg	327 457 417 484
SL:	782 458 831 479
10	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Sáng	380 485 418 504
2	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
17/12/2020	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BSCKI.	581 681 650 709
Nguyễn	650 681 718 709
Tiến	718 681 786 709
Bình	786 681 855 709
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
04/05/2021	771 774 864 789
21:52:41	864 774 957 789

1/1	76 26 148 54
PK	34 83 67 105
Số	67 83 100 105
2	100 83 132 105
[Nội]	132 83 165 105
Số	489 85 565 114
phiếu	565 85 642 114
40837/2018	642 85 718 114
4730716	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
DN	243 193 282 210
35	394 193 423 210
35	481 193 509 209
140	573 193 615 210
25610	669 193 736 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 238 85 256
lâm	85 238 134 256
sàng:	134 238 182 256
Chụp	182 238 231 256
Xquang	231 238 280 256
khớp	280 238 328 256
vai	328 238 377 256
thắng	377 238 426 256
Chần	36 254 81 274
đoán:	81 254 126 274
S42.1	126 254 171 274
-	171 254 215 274
Gầy	215 254 260 274
xương	260 254 305 274
vai:	305 254 350 274
(D69)	350 254 394 274
Ban	394 254 439 274
xuất	439 254 484 274
huyết	484 254 528 274
và	528 254 573 274
các	573 254 618 274
tình	618 254 663 274
trạng	663 254 707 274
xuất	707 254 752 274
huyết	752 254 797 274
khác	797 254 842 274
1)	60 360 176 385
PARACETAMOL	176 360 292 385
500MG	292 360 407 385
500mg	407 360 523 385
SL:	782 361 831 382
20	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
2	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
2	418 388 456 407
Viên	456 388 494 407
2)	57 409 165 435
STATRIPSINE	165 409 273 435
4,2mg	273 409 381 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	676 435 715 452
2	715 435 755 452
Viên	755 435 794 452
Sáng	380 437 418 456
2	418 437 456 456
Viên	456 437 494 456
3)	59 458 163 484
VENRUTINE	163 458 267 484
100mg	267 458 371 484
+500mg	371 458 475 484
SL:	782 458 831 479
10	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Chiều	675 484 714 500
1	714 484 753 500
Viên	753 484 793 500
Sáng	380 485 418 504
1	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
10/07/2018	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BS.	614 681 665 707
Đào	665 681 717 707
Tiến	717 681 768 707
Trung	768 681 819 707
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
10/06/2021	773 774 867 789
21:15:49	867 774 960 789

1/1	76 26 148 54
LHANG	201 56 273 71
Số	489 85 560 113
phiếu	560 85 631 113
2047/2018	631 85 702 113
4812645	823 93 905 110
TOA	342 112 450 143
THUỐC	450 112 557 143
BHYT	557 112 665 143
Nam	813 149 861 165
Nữ	901 149 931 165
BT	246 193 281 209
35	481 193 509 210
207	573 193 613 210
65303	672 193 736 210
2	327 194 344 209
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
195	439 218 542 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 80 274
đoán:	80 254 123 274
[10	123 254 167 274
-	167 254 210 274
Tăng	210 254 253 274
huyết	253 254 297 274
áp	297 254 340 274
vô	340 254 384 274
căn	384 254 427 274
(nguyên	427 254 471 274
phát);	471 254 514 274
(G45)	514 254 557 274
Cơn	557 254 601 274
thiếu	601 254 644 274
máu	644 254 688 274
não	688 254 731 274
thoáng	731 254 775 274
qua	775 254 818 274
và	818 254 861 274
hội	861 254 905 274
chứng	34 274 82 293
liên	82 274 131 293
quan	131 274 180 293
1)	60 360 159 385
SAVILOSARTAN	159 360 257 385
50	257 360 356 385
50mg	356 360 455 385
SL:	782 361 831 382
14	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Tối	822 386 855 404
1	855 386 888 404
Viên	888 386 921 404
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	59 406 159 435
HOẠT	159 406 259 435
HUYẾT	259 406 359 435
DƯỠNG	359 406 459 435
NÃO	459 406 559 435
150mg+20mg	559 406 659 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Tối	822 435 855 452
2	855 435 888 452
Viên	888 435 921 452
Sáng	380 437 418 456
2	418 437 456 456
Viên	456 437 494 456
3)	59 458 193 485
COSYNDO	193 458 327 485
B	327 458 461 485
175mg+175mg+125mcg	461 458 596 485
SL:	782 458 831 479
10	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Tối	822 484 855 500
1	855 484 888 500
Viên	888 484 921 500
Sáng	380 485 418 504
1	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
17/07/2018	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
YS.	619 685 669 708
trần	669 685 719 708
quang	719 685 769 708
khải	769 685 819 708
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
16/05/2021	773 774 865 789
11:02:41	865 774 957 789

1/1	76 26 148 54
LƯNG	203 56 256 71
ĐẠO	256 56 309 71
Số	489 85 560 114
phiếu	560 85 631 114
1828/2018	631 85 702 114
4726159	823 93 905 110
TOA	342 112 450 143
THUỐC	450 112 557 143
BHYT	557 112 665 143
Nam	815 149 861 165
Nữ	901 149 931 165
35	394 193 423 210
35	481 193 509 209
207	573 193 613 210
64474	672 193 736 210
2	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chần	36 254 78 274
đoán:	78 254 121 274
I10	121 254 163 274
-	163 254 205 274
Tăng	205 254 247 274
huyết	247 254 289 274
áp	289 254 331 274
vô	331 254 373 274
căn	373 254 415 274
(nguyên	415 254 457 274
phát)	457 254 500 274
Rối	500 254 542 274
loạn	542 254 584 274
tuần	584 254 626 274
hoàn	626 254 668 274
não	668 254 710 274
1)	60 360 159 385
SAVILOSARTAN	159 360 257 385
50	257 360 356 385
50mg	356 360 455 385
SL:	782 361 831 382
30	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
